username,transaction_type,amount,category,description,place,date
valerie.reynolds,card,37.8,Food,Fresh vegetables,Kaufland,2024-08-02
valerie.reynolds,cash,662.97,Shopping,Accessories,Retail Shop,2021-03-14
valerie.reynolds,card,251.77,Health,Medical equipment,Mental Health Clinic,2025-02-10
valerie.reynolds,cash,115.48,Transport,Bus ticket,OMV,2024-03-03
valerie.reynolds,cash,151.84,Entertainment,Weekend fun,Music Club,2025-04-27
valerie.reynolds,cash,107.85,Transport,Commute,Ferry,2022-09-19
valerie.reynolds,cash,570.19,Shopping,Big purchase,Electronics Store,2020-07-21
valerie.reynolds,card,16.18,Food,Meal prep,Spar,2023-12-03
valerie.reynolds,cash,243.71,Bills,Insurance payment,Waste Management,2024-06-18
valerie.reynolds,cash,7.19,Coffee,Mocha,Bakery Cafe,2024-01-23
valerie.reynolds,card,600.91,Shopping,Computer equipment,Department Store,2020-07-09
valerie.reynolds,cash,5.09,Coffee,Cappuccino,Coffee House,2021-01-12
valerie.reynolds,cash,67.47,Food,Breakfast,Street Food,2021-03-19
valerie.reynolds,cash,13.06,Health,Dental check,Rehab Center,2024-09-13
valerie.reynolds,cash,296.14,Health,Medical equipment,Medical Center,2020-07-03
valerie.reynolds,cash,238.01,Health,Medical care,Laboratory,2023-10-30
valerie.reynolds,cash,98.13,Shopping,Online order,Shoe Store,2021-09-15
valerie.reynolds,cash,160.92,Entertainment,Club entry,Concert Hall,2022-04-19
valerie.reynolds,cash,84.74,Entertainment,Theater play,Concert Hall,2022-10-12
valerie.reynolds,cash,778.07,Shopping,New phone,Retail Shop,2020-04-19
valerie.reynolds,card,24.36,Food,Weekly shopping,Burger Place,2021-04-16
valerie.reynolds,cash,268.32,Bills,Service charge,Subscription Service,2025-04-14
valerie.reynolds,cash,9.44,Entertainment,Leisure activity,Leisure Center,2025-03-15
valerie.reynolds,cash,710.01,Shopping,Decorations,Home Store,2023-07-17
valerie.reynolds,card,7.13,Coffee,Coffee with milk,University Cafe,2021-03-28
valerie.reynolds,card,140.29,Shopping,Furniture,Sports Store,2022-01-22
valerie.reynolds,card,6.41,Coffee,Coffee meeting,Morning Cafe,2024-10-29
valerie.reynolds,cash,70.98,Bills,Insurance payment,Electric Company,2024-11-05
valerie.reynolds,cash,82.06,Entertainment,Streaming subscription,Event Venue,2025-08-29
valerie.reynolds,cash,295.84,Health,Therapy session,Medical Store,2021-04-05
valerie.reynolds,cash,271.74,Bills,Utility payment,Energy Provider,2022-08-21
valerie.reynolds,cash,56.01,Food,Organic food,Bakery,2020-08-30
valerie.reynolds,card,309.95,Health,Vaccination,Clinic,2024-07-11
valerie.reynolds,card,62.69,Entertainment,Museum entry,Online Platform,2022-08-15
valerie.reynolds,card,229.12,Entertainment,Weekend fun,Night Club,2023-08-28
valerie.reynolds,cash,6.45,Coffee,Afternoon coffee,Espresso Bar,2023-12-19
valerie.reynolds,cash,197.14,Entertainment,Online content,Streaming Platform,2020-06-16
valerie.reynolds,card,28.34,Transport,Vehicle rental,BP,2024-11-20
valerie.reynolds,card,6.7,Coffee,Double espresso,Neighborhood Cafe,2020-03-29
valerie.reynolds,card,155.19,Health,Health consultation,Private Doctor,2023-09-19
valerie.reynolds,cash,7.42,Coffee,Takeaway coffee,Downtown Cafe,2021-04-20
valerie.reynolds,cash,351.57,Health,Routine check,Optician,2021-04-04
valerie.reynolds,card,83.9,Food,Ready meals,Bakery,2022-11-12
valerie.reynolds,cash,19.18,Entertainment,Event entry,Event Venue,2024-11-19
valerie.reynolds,card,32.48,Transport,Car wash,Train Station,2022-04-18
valerie.reynolds,card,320.27,Health,Treatment,Optician,2020-11-28
valerie.reynolds,card,202.24,Entertainment,Weekend fun,Leisure Center,2022-04-30
valerie.reynolds,cash,73.05,Bills,Gas bill,Internet Provider,2021-10-27
valerie.reynolds,card,101.93,Entertainment,Theater play,Sports Arena,2021-03-27
valerie.reynolds,cash,474.57,Shopping,Accessories,Shoe Store,2021-05-26
valerie.reynolds,card,353.64,Health,Health consultation,Health Center,2023-11-13
valerie.reynolds,cash,14.08,Transport,Train ticket,Bus Station,2021-04-01
valerie.reynolds,card,5.01,Coffee,Specialty coffee,Late Night Cafe,2024-08-17
valerie.reynolds,card,201.22,Entertainment,Night out,Museum,2020-07-23
valerie.reynolds,card,179.32,Bills,Streaming subscription,Service Provider,2021-03-05
valerie.reynolds,cash,5.3,Coffee,Strong coffee,Cafe Bar,2024-04-20
